column_number,row_letter,concentration,well,plate,mouse_id,name
6,1,0.33840775878013,1.06.0,MAA000154,30_2_M,1.06.0-MAA000154-30_2_M-1
6,2,0.3010797492330676,2.06.0,MAA000154,30_2_M,2.06.0-MAA000154-30_2_M-1
6,3,1.084664363079101,3.06.0,MAA000154,30_2_M,3.06.0-MAA000154-30_2_M-1
6,4,1.7219190201246062,4.06.0,MAA000154,30_2_M,4.06.0-MAA000154-30_2_M-1
6,5,2.395135546826927,5.06.0,MAA000154,30_2_M,5.06.0-MAA000154-30_2_M-1
6,6,1.3938542107852416,6.06.0,MAA000154,30_2_M,6.06.0-MAA000154-30_2_M-1
6,7,0.4031768932092329,7.06.0,MAA000154,30_2_M,7.06.0-MAA000154-30_2_M-1
6,8,2.534064682804702,8.06.0,MAA000154,30_2_M,8.06.0-MAA000154-30_2_M-1
6,9,0.3716253964264416,9.06.0,MAA000154,30_2_M,9.06.0-MAA000154-30_2_M-1
6,10,0.4315933200601633,10.06.0,MAA000154,30_2_M,10.06.0-MAA000154-30_2_M-1
6,11,1.612666076040911,11.06.0,MAA000154,30_2_M,11.06.0-MAA000154-30_2_M-1
6,12,1.2185723672292943,12.06.0,MAA000154,30_2_M,12.06.0-MAA000154-30_2_M-1
6,13,0.3805608835825954,13.06.0,MAA000154,30_2_M,13.06.0-MAA000154-30_2_M-1
6,14,1.5644842464209443,14.06.0,MAA000154,30_2_M,14.06.0-MAA000154-30_2_M-1
6,15,1.8401038656954516,15.06.0,MAA000154,30_2_M,15.06.0-MAA000154-30_2_M-1
7,0,0.3434468189527282,0.07.0,MAA000154,30_2_M,0.07.0-MAA000154-30_2_M-1
7,1,2.4505532564954966,1.07.0,MAA000154,30_2_M,1.07.0-MAA000154-30_2_M-1
7,2,0.5222641321459018,2.07.0,MAA000154,30_2_M,2.07.0-MAA000154-30_2_M-1
7,3,0.7508373836514786,3.07.0,MAA000154,30_2_M,3.07.0-MAA000154-30_2_M-1
7,4,0.2303607947045354,4.07.0,MAA000154,30_2_M,4.07.0-MAA000154-30_2_M-1
7,5,2.736945420678834,5.07.0,MAA000154,30_2_M,5.07.0-MAA000154-30_2_M-1
7,6,2.268970197277799,6.07.0,MAA000154,30_2_M,6.07.0-MAA000154-30_2_M-1
7,7,0.2848127641882237,7.07.0,MAA000154,30_2_M,7.07.0-MAA000154-30_2_M-1
7,8,1.3702425803986957,8.07.0,MAA000154,30_2_M,8.07.0-MAA000154-30_2_M-1
7,9,0.41690761504576235,9.07.0,MAA000154,30_2_M,9.07.0-MAA000154-30_2_M-1
7,10,1.405169386936567,10.07.0,MAA000154,30_2_M,10.07.0-MAA000154-30_2_M-1
7,11,0.2964422839888358,11.07.0,MAA000154,30_2_M,11.07.0-MAA000154-30_2_M-1
7,12,0.45785954073213164,12.07.0,MAA000154,30_2_M,12.07.0-MAA000154-30_2_M-1
7,13,2.2290927770694102,13.07.0,MAA000154,30_2_M,13.07.0-MAA000154-30_2_M-1
7,14,0.3997346509660918,14.07.0,MAA000154,30_2_M,14.07.0-MAA000154-30_2_M-1
7,15,0.4457626887380931,15.07.0,MAA000154,30_2_M,15.07.0-MAA000154-30_2_M-1
8,0,0.4587762767739682,0.08.0,MAA000154,30_2_M,0.08.0-MAA000154-30_2_M-1
8,1,3.022357502001277,1.08.0,MAA000154,30_2_M,1.08.0-MAA000154-30_2_M-1
8,2,1.0454000922702718,2.08.0,MAA000154,30_2_M,2.08.0-MAA000154-30_2_M-1
8,3,0.5870428283590134,3.08.0,MAA000154,30_2_M,3.08.0-MAA000154-30_2_M-1
8,4,0.22453766824322172,4.08.0,MAA000154,30_2_M,4.08.0-MAA000154-30_2_M-1
8,5,0.35388231097525075,5.08.0,MAA000154,30_2_M,5.08.0-MAA000154-30_2_M-1
8,6,0.29323908634591284,6.08.0,MAA000154,30_2_M,6.08.0-MAA000154-30_2_M-1
8,7,1.1522351002227604,7.08.0,MAA000154,30_2_M,7.08.0-MAA000154-30_2_M-1
8,8,1.2578760803971596,8.08.0,MAA000154,30_2_M,8.08.0-MAA000154-30_2_M-1
8,9,0.26984618176856645,9.08.0,MAA000154,30_2_M,9.08.0-MAA000154-30_2_M-1
8,10,-0.42061024150148607,10.08.0,MAA000154,30_2_M,10.08.0-MAA000154-30_2_M-1
8,11,0.2852047973325814,11.08.0,MAA000154,30_2_M,11.08.0-MAA000154-30_2_M-1
8,12,0.8580453011803075,12.08.0,MAA000154,30_2_M,12.08.0-MAA000154-30_2_M-1
8,13,1.556555137031709,13.08.0,MAA000154,30_2_M,13.08.0-MAA000154-30_2_M-1
8,14,1.2812534470754917,14.08.0,MAA000154,30_2_M,14.08.0-MAA000154-30_2_M-1
8,15,1.0505658460809857,15.08.0,MAA000154,30_2_M,15.08.0-MAA000154-30_2_M-1
9,0,1.4632966671486092,0.09.0,MAA000154,30_2_M,0.09.0-MAA000154-30_2_M-1
9,1,0.3654747788628291,1.09.0,MAA000154,30_2_M,1.09.0-MAA000154-30_2_M-1
9,2,2.3003938051994735,2.09.0,MAA000154,30_2_M,2.09.0-MAA000154-30_2_M-1
9,3,0.3270710686147851,3.09.0,MAA000154,30_2_M,3.09.0-MAA000154-30_2_M-1
9,4,0.9068665751058578,4.09.0,MAA000154,30_2_M,4.09.0-MAA000154-30_2_M-1
9,5,0.3548109992470982,5.09.0,MAA000154,30_2_M,5.09.0-MAA000154-30_2_M-1
9,6,1.5706061786325307,6.09.0,MAA000154,30_2_M,6.09.0-MAA000154-30_2_M-1
